日期,時間,產品ID,產品名稱,目前價格
2026-08-14,17:21,128,COUGAR GR 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價,2890
2026-08-14,17:21,129,COUGAR GR 1000W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/全日系/壓紋線/10年保,3890
2026-08-14,17:21,130,COUGAR GEX PRO 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3590
2026-08-14,17:21,131,COUGAR POLAR X2 1050W 雙8/白金/全模組/ATX3.1(PCIe 5.0)/全日系/10年▼下殺到 8/31 20:00,4990
2026-08-14,17:21,132,COUGAR POLAR X2 1200W 雙8/白金/全模組/ATX3.1(PCIe 5.0)/全日系/10年▼下殺到 8/31 20:00,5990
2026-08-14,17:21,135,振華 BRONZE KING II 400W/銅牌/5年保,1250
2026-08-14,17:21,136,振華 BRONZE KING II 500W 雙8/銅牌/5年保,1490
2026-08-14,17:21,137,振華 BRONZE KING II PLUS 650W 雙8/銅牌/5年保,1790
2026-08-14,17:21,138,振華 COMBAT DG 1000W 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/主日系/7年 原價,2790
2026-08-14,17:21,139,振華 COMBAT SG 850W 雙8/金牌/半模/ATX3.1(PCIe 5.1)/主日系/FDB風扇/7年保,2590
2026-08-14,17:21,140,振華 COMBAT SG PLUS 550W 雙8/金牌/半模/ATX3.1/全日系/10年保,2190
2026-08-14,17:21,141,振華 COMBAT SG PLUS 850W 雙8/金牌/半模/ATX3.1(PCIe 5.1)/全日系/10年保,2890
2026-08-14,17:21,142,振華 COMBAT FG 650W 黑色 雙8/金牌/全模/ATX3.1(PCIe 5.0)/全日系/10年保,2690
2026-08-14,17:21,143,振華 COMBAT FG 650W 白色 雙8/金牌/全模/ATX3.1(PCIe 5.0)/全日系/10年保,2790
2026-08-14,17:21,144,振華 COMBAT FG 850W 白色 雙8/金牌/全模/ATX3.1(PCIe 5.0)/全日系/10年保,3090
2026-08-14,17:21,145,振華 LEADEX III 850W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/主日系/智慧停轉/10年保,3090
2026-08-14,17:21,146,振華 LEADEX III 1000W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/主日系/智慧停轉/10年保,4190
2026-08-14,17:21,147,振華 LEADEX III 750W 黑色 雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/智慧停轉/10年保,3390
2026-08-14,17:21,148,振華 LEADEX III 750W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/智慧停轉/10年保,3390
2026-08-14,17:21,149,振華 LEADEX III 850W 黑色 雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/智慧停轉/10年保,3790
2026-08-14,17:21,150,振華 LEADEX III 850W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/智慧停轉/10年保,3790
2026-08-14,17:21,151,振華 LEADEX VII PRO 850W 黑色 雙8/白金/全模/ATX3.1(PCIe 5.1)/全日系/10年保,4390
2026-08-14,17:21,152,振華 LEADEX VII PRO 850W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/全日系/10年保,4590
2026-08-14,17:21,153,振華 LEADEX VII PRO 1000W 黑色 雙8/白金/全模/ATX3.1(PCIe 5.1)/全日系/10年保,4990
2026-08-14,17:21,154,振華 LEADEX VII PRO 1000W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/全日系/10年保,5190
2026-08-14,17:21,155,振華 LEADEX VII PRO 1200W 黑色 雙8/白金/全模/ATX3.1(PCIe 5.1)/全日系/10年保,6990
2026-08-14,17:21,156,振華 LEADEX VII PRO 1200W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/全日系/10年保,7190
